[2021-05-02 15:39:40] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving group with name=group33
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Deleted group with name=group33
[2021-05-02 15:39:44] DEBUG|bookmark_manager_app.views.display|Redirecting to Groups page
[2021-05-02 15:39:44] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:39:44] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:39:44] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:39:44] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.index|User with username=user3 successfully logged in
[2021-05-02 15:43:10] DEBUG|bookmark_manager_app.views.index|Redirecting to groups page
[2021-05-02 15:43:10] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:43:10] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:43:10] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:43:10] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Created new group with name=group33
[2021-05-02 15:43:13] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving bookmarks of user with username=user3
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving tags of user with username=user3
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving reminders of user with username=user3
[2021-05-02 15:43:13] DEBUG|bookmark_manager_app.views.display|Rendering Groups page
[2021-05-02 15:43:13] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:43:13] INFO|bookmark_manager_app.views.display|Retrieving user with name=favicon.ico
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving group with name=group33
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Deleted group with name=group33
[2021-05-02 15:43:19] DEBUG|bookmark_manager_app.views.display|Redirecting to Groups page
[2021-05-02 15:43:19] DEBUG|bookmark_manager_app.views.display|Redirected to groups page
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving user with name=user3
[2021-05-02 15:43:19] INFO|bookmark_manager_app.views.display|Retrieving groups of user with username=user3
